#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.14662099	0.91164	0.18046671	0.81644833
2	200	0.118439816	0.73025304	0.14194693	0.7798022
3	300	0.13051082	0.6476639	0.10441488	0.70181584
4	400	0.112373404	0.5920941	0.16569011	0.66917634
5	500	0.10553674	0.57827854	0.10514883	0.64636534
6	600	0.08004049	0.56090003	0.075564586	0.61535496
7	700	0.0783588	0.5532654	0.085553996	0.5901121
8	800	0.08550067	0.4630342	0.08319652	0.56054735
9	900	0.07036893	0.4601293	0.090006	0.54038596
10	1000	0.07483238	0.4641765	0.08660991	0.5549815
11	1100	0.06124203	0.41044638	0.088897705	0.5195368
12	1200	0.07043971	0.43543923	0.08808645	0.5242855
13	1300	0.06805292	0.39285433	0.08096364	0.5242385
14	1400	0.07979964	0.42136717	0.08040111	0.52453405
15	1500	0.05163777	0.37254757	0.087680064	0.5155493
16	1600	0.047290802	0.37618616	0.072066754	0.49247235
17	1700	0.057195295	0.39713734	0.075501	0.4935712
18	1800	0.059926424	0.40137687	0.061332703	0.48662844
19	1900	0.0663716	0.36762655	0.11178183	0.48435023
20	2000	0.06388077	0.3788141	0.098854065	0.47660375
21	2100	0.06392885	0.352857	0.08751832	0.45740998
22	2200	0.06663597	0.38110173	0.08443451	0.46118832
23	2300	0.05247315	0.33958477	0.05661672	0.4874032
24	2400	0.048368502	0.33007598	0.05511526	0.45769647
25	2500	0.039800696	0.34412315	0.07151846	0.45138308
26	2600	0.063844964	0.32161322	0.07402344	0.45161927
27	2700	0.051766027	0.34517768	0.053549707	0.4507852
28	2800	0.043422394	0.32727674	0.05867463	0.4745096
29	2900	0.035710797	0.31171975	0.072014876	0.45306846
30	3000	0.040625915	0.28668237	0.05602621	0.4380083
31	3100	0.07243167	0.3008401	0.11276144	0.44564727
32	3200	0.038814288	0.31415814	0.06797334	0.44020346
33	3300	0.041739527	0.29927316	0.06361949	0.4364796
34	3400	0.03744527	0.2857478	0.048132833	0.4460105
35	3500	0.049954444	0.29701182	0.055905666	0.46443093
36	3600	0.05422722	0.2931908	0.05215556	0.46803257
37	3700	0.05030716	0.2931928	0.052520752	0.4735934
38	3800	0.039163694	0.31824207	0.053134155	0.42715415
39	3900	0.042385727	0.25875664	0.07424215	0.42099467
40	4000	0.035937432	0.2813949	0.06818594	0.4223989
41	4100	0.041365556	0.2655093	0.101660155	0.42032605
42	4200	0.046793178	0.27832976	0.06934764	0.4155112
43	4300	0.042894237	0.2800921	0.07627157	0.42920503
44	4400	0.035175342	0.2812772	0.05475108	0.41926754
45	4500	0.03450175	0.26798314	0.07804312	0.4233867
46	4600	0.05689446	0.27564797	0.05998637	0.42842618
47	4700	0.03957767	0.26328233	0.06904704	0.42660004
48	4800	0.056777664	0.26215145	0.08037669	0.4203967
49	4900	0.04721913	0.2770812	0.10607097	0.42313996
50	5000	0.03825399	0.2743084	0.09338685	0.4252907
51	5100	0.040919945	0.27094877	0.06534373	0.41670924
52	5200	0.029323256	0.25160548	0.05981293	0.41962737
53	5300	0.035225444	0.23736425	0.054032393	0.42124134
54	5400	0.033128235	0.25396153	0.07043966	0.4202765
55	5500	0.040170543	0.26280835	0.083378606	0.42152923
56	5600	0.034975264	0.22981668	0.059504192	0.4216525
57	5700	0.029393127	0.24742465	0.060727444	0.4176782
58	5800	0.03218487	0.25237083	0.046545412	0.44707525
59	5900	0.050241657	0.23465219	0.047685247	0.41734642
60	6000	0.03930259	0.25261298	0.054270428	0.42446327
61	6100	0.042355187	0.23297064	0.05716858	0.42774197
62	6200	0.03129455	0.23073539	0.04797821	0.4254943
63	6300	0.033570398	0.23420288	0.049257915	0.42235562
64	6400	0.028405769	0.239425	0.04683126	0.43556353
65	6500	0.044044588	0.23078544	0.05004222	0.42205688
66	6600	0.03382988	0.23703273	0.04911448	0.4192222
67	6700	0.035808437	0.23235348	0.076218165	0.42828953
