#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.0748815	0.7516294	0.071816765	0.68270725
2	200	0.055614896	0.44739297	0.051516674	0.49297744
3	300	0.05287487	0.47137663	0.051462248	0.43732175
4	400	0.10302282	0.43852693	0.043205567	0.41958836
5	500	0.05075903	0.36359036	0.06057927	0.38409865
6	600	0.07668186	0.43304852	0.072207995	0.36291495
7	700	0.07194885	0.32208672	0.034799043	0.34567168
8	800	0.038614117	0.3296484	0.055375263	0.33751655
9	900	0.043045435	0.326515	0.05884074	0.32230955
10	1000	0.0391982	0.2974003	0.046211798	0.322843
11	1100	0.0375539	0.27789816	0.028611042	0.31158257
12	1200	0.050575946	0.3084108	0.06571941	0.3224878
13	1300	0.048450407	0.30193081	0.07122686	0.29251224
14	1400	0.03755922	0.24964873	0.042388458	0.2942628
15	1500	0.044701863	0.26381648	0.029570565	0.2871861
16	1600	0.048932064	0.2543306	0.036972303	0.2775976
17	1700	0.043052174	0.29787618	0.062162217	0.27675876
18	1800	0.0287571	0.26268595	0.027916308	0.27586004
19	1900	0.030923162	0.2387883	0.039450124	0.2678982
20	2000	0.039570466	0.22609302	0.05320282	0.2698516
21	2100	0.034479436	0.28250265	0.027603963	0.26086366
22	2200	0.03923087	0.24263181	0.05702016	0.25546196
23	2300	0.034438826	0.2531348	0.025916087	0.25879335
24	2400	0.055633157	0.2796101	0.050207213	0.2594403
25	2500	0.037564747	0.2219688	0.04225128	0.26120844
26	2600	0.043408833	0.23782536	0.05193232	0.2535625
27	2700	0.028375234	0.24108101	0.039678443	0.25460303
28	2800	0.051397454	0.26566893	0.026091563	0.24257761
29	2900	0.0510351	0.21435153	0.024303436	0.24504901
30	3000	0.050101757	0.22106527	0.058848675	0.24262112
31	3100	0.030810375	0.2308124	0.025132447	0.24102029
32	3200	0.050152097	0.21732306	0.07715805	0.24528824
33	3300	0.025157912	0.25069132	0.036122184	0.23534277
34	3400	0.037076324	0.23832943	0.046566267	0.23659733
35	3500	0.050694276	0.25651437	0.045274403	0.24015605
36	3600	0.045016576	0.24592638	0.05303543	0.23274747
37	3700	0.050275642	0.27105492	0.03177419	0.23742573
38	3800	0.040432826	0.2113369	0.037786406	0.24444042
39	3900	0.061914448	0.24476635	0.025115408	0.23101126
40	4000	0.03987892	0.21971276	0.05165354	0.22610813
41	4100	0.03351568	0.23691772	0.023093568	0.23094578
42	4200	0.04016371	0.21453825	0.04510086	0.23354477
43	4300	0.04496166	0.21041763	0.039243925	0.22559915
44	4400	0.062407084	0.22491059	0.035453945	0.23639052
45	4500	0.05173006	0.2342224	0.061813816	0.23163792
46	4600	0.03217935	0.2071389	0.06881033	0.22374548
47	4700	0.025915554	0.19485644	0.023916626	0.2222555
48	4800	0.032937	0.21585706	0.052897897	0.22229585
49	4900	0.028209848	0.20743388	0.024344737	0.22395582
50	5000	0.04737898	0.21034995	0.05102641	0.22026573
51	5100	0.026480027	0.20636618	0.021977134	0.2258101
52	5200	0.05253644	0.2017069	0.030475562	0.22142634
53	5300	0.04220686	0.20920642	0.02741287	0.21819708
54	5400	0.0329926	0.18945834	0.03865387	0.21653344
55	5500	0.041751795	0.18443942	0.031946108	0.2136494
56	5600	0.035868585	0.20446031	0.04844065	0.21778531
57	5700	0.023852479	0.21968348	0.022334544	0.21378386
58	5800	0.051515404	0.17959544	0.039513648	0.21421015
59	5900	0.02990102	0.20898408	0.033912707	0.20925996
60	6000	0.038241126	0.19546379	0.03391683	0.21163872
61	6100	0.030248197	0.19461554	0.0238884	0.21146595
62	6200	0.029255781	0.2090685	0.034774423	0.21641628
63	6300	0.030134581	0.18237756	0.026241302	0.21398854
64	6400	0.049488354	0.19318393	0.030052947	0.21609567
65	6500	0.026886834	0.21795046	0.02510284	0.20795935
66	6600	0.04913531	0.18544504	0.05894592	0.20730338
67	6700	0.050552446	0.20818874	0.06274119	0.2152466
68	6800	0.033435207	0.2093176	0.04811788	0.2106658
69	6900	0.037876934	0.19287124	0.024175614	0.20572208
70	7000	0.033548392	0.1874528	0.032101847	0.2123046
71	7100	0.034121476	0.19258668	0.03762446	0.2079359
72	7200	0.029181626	0.16009274	0.022839	0.20503496
73	7300	0.026334232	0.17761609	0.03813604	0.20921852
74	7400	0.026405398	0.16742128	0.024064992	0.20429416
75	7500	0.033765133	0.21236521	0.021702982	0.20420623
76	7600	0.03444843	0.18977179	0.033255313	0.20393096
77	7700	0.029321209	0.20277005	0.023666129	0.2057419
78	7800	0.034388043	0.19108419	0.03592458	0.2029141
79	7900	0.035221457	0.19790746	0.022090198	0.20812029
80	8000	0.025095752	0.22014125	0.025819957	0.20007701
81	8100	0.03799741	0.17977574	0.040365852	0.19990994
82	8200	0.037056472	0.21828827	0.039616495	0.19996937
83	8300	0.03491119	0.19278511	0.040811155	0.20837411
84	8400	0.030813042	0.20705986	0.027245685	0.20740174
85	8500	0.024457842	0.20685597	0.023954162	0.20349123
86	8600	0.032142278	0.1985593	0.031660717	0.20651118
87	8700	0.03540527	0.1686111	0.03944702	0.19688097
88	8800	0.059602626	0.17069596	0.055411223	0.20034984
89	8900	0.027334968	0.18433799	0.046417642	0.20335105
90	9000	0.045184	0.18786605	0.0505335	0.20005435
91	9100	0.03498679	0.18425375	0.046586044	0.20140848
92	9200	0.02340958	0.19587627	0.040549316	0.2000308
93	9300	0.027171677	0.16009763	0.02638087	0.20280999
94	9400	0.027803646	0.2084164	0.021925254	0.19593872
95	9500	0.030436827	0.20676957	0.022346905	0.20008627
96	9600	0.033154037	0.19499882	0.073655345	0.19499937
97	9700	0.022876218	0.17059255	0.023350777	0.19663511
98	9800	0.042013526	0.18300247	0.059210613	0.1952235
99	9900	0.04553573	0.18424977	0.028294679	0.19434421
100	10000	0.029089438	0.17379902	0.03165049	0.19421363
101	10100	0.028016888	0.1658804	0.024160666	0.19184639
102	10200	0.029971186	0.18934269	0.022495117	0.1960783
103	10300	0.033336565	0.19302088	0.02982544	0.20259345
104	10400	0.027314177	0.19883803	0.018932292	0.20452146
105	10500	0.027868098	0.20528848	0.024818268	0.18975836
106	10600	0.035233032	0.21380758	0.082008876	0.20192689
107	10700	0.028751107	0.18207757	0.02350591	0.19983064
108	10800	0.02824283	0.1918826	0.02831599	0.19632058
109	10900	0.037507895	0.17903821	0.048933253	0.19322404
110	11000	0.030158492	0.17749009	0.045277756	0.19136617
111	11100	0.027484078	0.18365483	0.033313036	0.18726946
112	11200	0.027818928	0.20438313	0.021207834	0.1932076
113	11300	0.017739965	0.15184805	0.02202637	0.19018327
114	11400	0.018134112	0.16119805	0.024880473	0.1903862
115	11500	0.020016761	0.17794876	0.020869395	0.18667676
116	11600	0.06340404	0.23645571	0.037742514	0.19353704
117	11700	0.021414006	0.17389196	0.022463633	0.19079995
118	11800	0.022607397	0.15760848	0.02050476	0.19621424
119	11900	0.033046726	0.19577277	0.031489257	0.18671976
120	12000	0.04517405	0.1751669	0.05005961	0.1974023
121	12100	0.021821916	0.18260305	0.024317576	0.1912775
122	12200	0.028318033	0.16305111	0.039824117	0.18933056
123	12300	0.022581467	0.1759144	0.02254486	0.18467687
124	12400	0.03503539	0.21511362	0.020416565	0.18859035
125	12500	0.026676392	0.19734426	0.045182697	0.18449724
126	12600	0.02674426	0.17800981	0.02478027	0.18591368
127	12700	0.043802176	0.18980198	0.02099304	0.18814602
128	12800	0.02290222	0.193947	0.022261199	0.18426368
129	12900	0.026619347	0.14821576	0.020039571	0.18768483
130	13000	0.03046363	0.16741301	0.03710332	0.18422721
131	13100	0.028805166	0.18730566	0.026209362	0.20607069
132	13200	0.025280133	0.14649764	0.030504452	0.18261346
133	13300	0.030243661	0.14714706	0.039759975	0.18443863
134	13400	0.02300078	0.18254542	0.02239334	0.1866918
135	13500	0.028770218	0.2077702	0.042171784	0.19967666
136	13600	0.024793409	0.16256586	0.027260842	0.1842256
137	13700	0.026866544	0.17052203	0.026449127	0.20113418
138	13800	0.02986775	0.17846082	0.023710838	0.18568844
139	13900	0.023619106	0.16403635	0.019162547	0.18664192
140	14000	0.030428553	0.17404205	0.021950686	0.18342276
141	14100	0.029866576	0.18522844	0.018026887	0.18328893
142	14200	0.031425484	0.16543554	0.027710723	0.18404819
143	14300	0.031319108	0.16527502	0.019567057	0.18495092
144	14400	0.05673033	0.1697268	0.03247869	0.18088663
145	14500	0.020312717	0.1712918	0.019209443	0.18160653
146	14600	0.03730315	0.17756751	0.026253967	0.19507161
147	14700	0.027398573	0.19678	0.023174236	0.1818228
148	14800	0.020899279	0.14661518	0.02624654	0.18136664
149	14900	0.026135825	0.16196795	0.018671365	0.18552218
150	15000	0.03804148	0.19200975	0.03417216	0.1884578
151	15100	0.025091698	0.19749206	0.030731201	0.19004685
152	15200	0.023771482	0.16499741	0.02582057	0.18676963
153	15300	0.038120363	0.16425344	0.020229949	0.18354304
154	15400	0.028194232	0.16809243	0.048900656	0.18245043
155	15500	0.020887708	0.17094456	0.029466147	0.18063283
156	15600	0.020898003	0.15536316	0.03616506	0.18625222
157	15700	0.025214521	0.1791028	0.023800913	0.18480398
158	15800	0.03643986	0.15437892	0.04007202	0.1812075
159	15900	0.01724801	0.163204	0.033296354	0.18152711
160	16000	0.031042818	0.16962352	0.031406913	0.1816092
161	16100	0.030656891	0.17676307	0.02551712	0.17926507
162	16200	0.026346374	0.17106286	0.038729914	0.19050187
163	16300	0.026525715	0.15059575	0.021279754	0.17635211
164	16400	0.03032813	0.15537043	0.03053248	0.17723612
165	16500	0.022427857	0.1503547	0.028232371	0.18414363
166	16600	0.025874887	0.16172102	0.06092987	0.17955884
167	16700	0.02139511	0.1526151	0.01927307	0.17717788
168	16800	0.018325062	0.15293585	0.024792532	0.17828856
169	16900	0.02731516	0.17979562	0.019497527	0.1832807
170	17000	0.026238186	0.17613672	0.022949422	0.18169512
171	17100	0.027888667	0.1680245	0.03657038	0.18102625
172	17200	0.033983827	0.17615598	0.025958862	0.18691495
173	17300	0.028918201	0.16384609	0.025073752	0.17608076
174	17400	0.035059266	0.14677702	0.018165182	0.17725685
175	17500	0.022151142	0.16673487	0.03615422	0.18238467
176	17600	0.02159653	0.16392644	0.02093277	0.17608373
177	17700	0.03500827	0.15510775	0.019834036	0.17833118
178	17800	0.028479254	0.17267337	0.017783863	0.17802697
179	17900	0.027827183	0.17668247	0.028320568	0.17703256
180	18000	0.037073057	0.16214058	0.023713276	0.17785251
181	18100	0.02436369	0.17374468	0.032585755	0.17994723
182	18200	0.023620652	0.16988002	0.025408125	0.17626184
183	18300	0.032463394	0.16815445	0.03575409	0.17657955
184	18400	0.026980514	0.13713823	0.041221466	0.17406826
185	18500	0.03738913	0.19642395	0.043644715	0.19096795
186	18600	0.027204236	0.15996237	0.021560058	0.17694353
187	18700	0.036758572	0.16388185	0.024815317	0.17655772
188	18800	0.021585155	0.16284122	0.017963462	0.17239389
189	18900	0.019891609	0.14140199	0.028719584	0.17995164
190	19000	0.024892155	0.15247118	0.039631195	0.17520042
191	19100	0.027407499	0.19891994	0.028946633	0.18337847
192	19200	0.02942105	0.18633062	0.020060172	0.17378515
193	19300	0.03344039	0.17797348	0.033821106	0.17719227
194	19400	0.022632191	0.18816751	0.02149343	0.17387588
195	19500	0.0234738	0.17170723	0.019772034	0.17738
196	19600	0.020833785	0.15141909	0.023383684	0.1722361
197	19700	0.020464342	0.13904774	0.026344605	0.17553331
198	19800	0.018874152	0.16770494	0.021368613	0.17294943
199	19900	0.021204937	0.17911515	0.020286663	0.17628156
200	20000	0.026463969	0.14958388	0.028755387	0.17016268
201	20100	0.03459126	0.16694963	0.021388397	0.17445591
202	20200	0.024779556	0.14888829	0.018380228	0.17210503
203	20300	0.019773621	0.16077892	0.02024053	0.17857887
204	20400	0.029269397	0.15851994	0.017082214	0.17914125
