#epoch	step	MAE/at	MAEF	Val_MAE/at	Val_MAEF
1	100	0.16040137	0.901722	0.14582716	0.892639
2	200	0.124251634	0.83318675	0.121244654	0.8084702
3	300	0.088930935	0.68800074	0.09711827	0.723181
4	400	0.115711436	0.6834687	0.09593003	0.662672
5	500	0.0863118	0.6111014	0.087516576	0.60905695
6	600	0.10285256	0.5530924	0.08206977	0.5809335
7	700	0.091109104	0.58897483	0.08147536	0.54423064
8	800	0.10310931	0.54161716	0.102258354	0.53767633
9	900	0.07731059	0.51528424	0.09164861	0.512161
10	1000	0.07489616	0.51006466	0.07230137	0.49371907
11	1100	0.06807459	0.45781898	0.08269082	0.49568608
12	1200	0.06974494	0.46681997	0.068862885	0.47710502
13	1300	0.06477834	0.45616907	0.063853316	0.46621057
14	1400	0.06742717	0.463716	0.06664805	0.45193836
15	1500	0.09366614	0.48273677	0.09621859	0.4467847
16	1600	0.07178615	0.4429949	0.08983666	0.4410251
17	1700	0.06117914	0.47296947	0.0627997	0.4398183
18	1800	0.0937171	0.44976676	0.08461933	0.42408973
19	1900	0.08118541	0.45453447	0.0604163	0.42817846
20	2000	0.091473006	0.47356695	0.07485721	0.42994818
21	2100	0.061399512	0.4275573	0.059290845	0.4099945
22	2200	0.088010006	0.45055607	0.059991363	0.40830377
23	2300	0.08029383	0.46338356	0.058938373	0.4048399
24	2400	0.065359294	0.42430195	0.059408303	0.39603487
25	2500	0.09563054	0.42600188	0.065845884	0.3884553
26	2600	0.06816028	0.34506285	0.064723596	0.39423782
27	2700	0.076728135	0.39475465	0.05715137	0.37988862
28	2800	0.063063726	0.4178886	0.056411546	0.37193605
29	2900	0.069973394	0.38069373	0.063990906	0.37701222
30	3000	0.06714616	0.3740625	0.1156001	0.37122372
31	3100	0.083327934	0.45239896	0.09255583	0.3744625
32	3200	0.07315666	0.39451718	0.16504204	0.37190863
33	3300	0.069911495	0.37223786	0.07422686	0.35770172
34	3400	0.08450361	0.3759989	0.056548316	0.3625891
35	3500	0.060212545	0.3636844	0.05588555	0.3557271
36	3600	0.07827986	0.38268635	0.14562789	0.3506965
37	3700	0.051570192	0.34341037	0.06108553	0.34370607
38	3800	0.06782231	0.36248407	0.059644695	0.34825096
